Gene	GeneSymbol	Chr	start	end	band	cytoband	isCentromer	Position	new_positions
RN7SL470P	RN7SL470P	2	70075014	70075272	p13.3	2p	no	70075143	727
PCBP1	PCBP1	2	70087477	70089203	p13.3	2p	no	70088340	728
MRPL36P1	MRPL36P1	2	70102551	70102862	p13.3	2p	no	70102706.5	729
LINC01816	LINC01816	2	70124034	70132897	p13.3	2p	no	70128465.5	730
C2orf42	C2orf42	2	70149885	70248615	p13.3	2p	no	70199250	731
TIA1	TIA1	2	70209444	70248660	p13.3	2p	no	70229052	732
MIR1285-2	MIR1285-2	2	70252918	70253005	p13.3	2p	no	70252961.5	733
RPL39P15	RPL39P15	2	70253855	70254010	p13.3	2p	no	70253932.5	734
PCYOX1	PCYOX1	2	70257386	70281185	p13.3	2p	no	70269285.5	735
SNRPG	SNRPG	2	70281362	70293740	p13.3	2p	no	70287551	736
FAM136A	FAM136A	2	70295975	70302090	p13.3	2p	no	70299032.5	737
BRD7P6	BRD7P6	2	70353010	70355915	p13.3	2p	no	70354462.5	738
TGFA	TGFA	2	70447284	70554193	p13.3	2p	no	70500738.5	739
TGFA-IT1	TGFA-IT1	2	70467385	70468495	p13.3	2p	no	70467940	740
ADD2	ADD2	2	70607618	70768225	p13.3	2p	no	70687921.5	741
FIGLA	FIGLA	2	70777310	70790643	p13.3	2p	no	70783976.5	742
HMGN2P21	HMGN2P21	2	70803157	70803426	p13.3	2p	no	70803291.5	743
CLEC4F	CLEC4F	2	70808643	70820599	p13.3	2p	no	70814621	744
MOB4P1	MOB4P1	2	70810798	70811474	p13.3	2p	no	70811136	745
CD207	CD207	2	70830211	70835816	p13.3	2p	no	70833013.5	746
LINC01143	LINC01143	2	70887871	70889959	p13.3	2p	no	70888915	747
VAX2	VAX2	2	70900576	70965373	p13.3	2p	no	70932974.5	748
ATP6V1B1	ATP6V1B1	2	70935900	70965431	p13.3	2p	no	70950665.5	749
ATP6V1B1-AS1	ATP6V1B1-AS1	2	70941817	70948610	p13.3	2p	no	70945213.5	750
ELOCP21	ELOCP21	2	70955899	70956234	p13.3	2p	no	70956066.5	751
RN7SL160P	RN7SL160P	2	70965584	70965867	p13.3	2p	no	70965725.5	752
ANKRD53	ANKRD53	2	70978380	70985499	p13.3	2p	no	70981939.5	753
TEX261	TEX261	2	70985942	70994873	p13.3	2p	no	70990407.5	754
OR7E91P	OR7E91P	2	71024127	71029893	p13.3	2p	no	71027010	755
OR7E46P	OR7E46P	2	71037685	71038703	p13.3	2p	no	71038194	756
OR7E62P	OR7E62P	2	71055527	71056003	p13.3	2p	no	71055765	757
NAGK	NAGK	2	71064344	71079808	p13.3	2p	no	71072076	758
MCEE	MCEE	2	71109684	71130239	p13.3	2p	no	71119961.5	759
MPHOSPH10	MPHOSPH10	2	71130632	71150101	p13.3	2p	no	71140366.5	760
PAIP2B	PAIP2B	2	71182738	71227103	p13.3	2p	no	71204920.5	761
ZNF638	ZNF638	2	71276561	71435069	p13.3	2p	no	71355815	762
RNU6-105P	RNU6-105P	2	71379755	71379858	p13.2	2p	no	71379806.5	763
DYSF	DYSF	2	71453561	71686763	p13.2	2p	no	71570162	764
RPS20P10	RPS20P10	2	71984182	71984434	p13.2	2p	no	71984308	765
CYP26B1	CYP26B1	2	72129238	72147862	p13.2	2p	no	72138550	766
EXOC6B	EXOC6B	2	72175984	72826041	p13.2	2p	no	72501012.5	767
RPS15AP13	RPS15AP13	2	72288785	72289110	p13.2	2p	no	72288947.5	768
RNU2-39P	RNU2-39P	2	72721806	72722003	p13.2	2p	no	72721904.5	769
SPR	SPR	2	72887382	72892158	p13.2	2p	no	72889770	770
EMX1	EMX1	2	72916260	72936071	p13.2	2p	no	72926165.5	771
SFXN5	SFXN5	2	72942036	73075619	p13.2	2p	no	73008827.5	772
RAB11FIP5	RAB11FIP5	2	73073382	73156721	p13.2	2p	no	73115051.5	773
NOTO	NOTO	2	73202574	73212513	p13.2	2p	no	73207543.5	774
SMYD5	SMYD5	2	73214222	73227221	p13.2	2p	no	73220721.5	775
PRADC1	PRADC1	2	73228010	73233239	p13.2	2p	no	73230624.5	776
CCT7	CCT7	2	73233420	73253021	p13.2	2p	no	73243220.5	777
FBXO41	FBXO41	2	73254682	73284478	p13.2	2p	no	73269580	778
EGR4	EGR4	2	73290929	73293701	p13.2	2p	no	73292315	779
RNU6-111P	RNU6-111P	2	73298683	73298787	p13.2	2p	no	73298735	780
RPSAP28	RPSAP28	2	73370019	73370892	p13.1	2p	no	73370455.5	781
ALMS1	ALMS1	2	73385758	73625166	p13.1	2p	no	73505462	782
ALMS1-IT1	ALMS1-IT1	2	73456764	73459482	p13.1	2p	no	73458123	783
NAT8	NAT8	2	73640723	73642422	p13.1	2p	no	73641572.5	784
ALMS1P1	ALMS1P1	2	73641083	73697509	p13.1	2p	no	73669296	785
NAT8B	NAT8B	2	73700576	73701340	p13.1	2p	no	73700958	786
TPRKB	TPRKB	2	73729104	73737400	p13.1	2p	no	73733252	787
DUSP11	DUSP11	2	73762184	73780157	p13.1	2p	no	73771170.5	788
C2orf78	C2orf78	2	73784189	73817147	p13.1	2p	no	73800668	789
STAMBP	STAMBP	2	73828916	73873659	p13.1	2p	no	73851287.5	790
ACTG2	ACTG2	2	73892314	73919865	p13.1	2p	no	73906089.5	791
DGUOK	DGUOK	2	73926826	73958961	p13.1	2p	no	73942893.5	792
DGUOK-AS1	DGUOK-AS1	2	73947322	73982164	p13.1	2p	no	73964743	793
RNA5SP97	RNA5SP97	2	73968123	73968206	p13.1	2p	no	73968164.5	794
TET3	TET3	2	73984910	74108176	p13.1	2p	no	74046543	795
FNBP1P1	FNBP1P1	2	74120680	74123218	p13.1	2p	no	74121949	796
BOLA3	BOLA3	2	74135400	74147912	p13.1	2p	no	74141656	797
BOLA3-AS1	BOLA3-AS1	2	74148007	74151952	p13.1	2p	no	74149979.5	798
MOB1A	MOB1A	2	74152528	74178898	p13.1	2p	no	74165713	799
MTHFD2	MTHFD2	2	74186172	74217565	p13.1	2p	no	74201868.5	800
SLC4A5	SLC4A5	2	74216242	74343414	p13.1	2p	no	74279828	801
KRT18P26	KRT18P26	2	74306728	74308008	p13.1	2p	no	74307368	802
RNU6-542P	RNU6-542P	2	74319399	74319501	p13.1	2p	no	74319450	803
NECAP1P2	NECAP1P2	2	74350069	74351009	p13.1	2p	no	74350539	804
TAF13P2	TAF13P2	2	74351134	74351419	p13.1	2p	no	74351276.5	805
DCTN1	DCTN1	2	74361154	74392087	p13.1	2p	no	74376620.5	806
DCTN1-AS1	DCTN1-AS1	2	74385474	74393882	p13.1	2p	no	74389678	807
C2orf81	C2orf81	2	74414176	74421619	p13.1	2p	no	74417897.5	808
HMGA1P8	HMGA1P8	2	74418122	74418442	p13.1	2p	no	74418282	809
WDR54	WDR54	2	74421678	74425755	p13.1	2p	no	74423716.5	810
RTKN	RTKN	2	74425835	74442422	p13.1	2p	no	74434128.5	811
INO80B	INO80B	2	74455087	74457944	p13.1	2p	no	74456515.5	812
INO80B-WBP1	INO80B-WBP1	2	74455088	74460884	p13.1	2p	no	74457986	813
WBP1	WBP1	2	74458400	74460891	p13.1	2p	no	74459645.5	814
MOGS	MOGS	2	74461057	74465410	p13.1	2p	no	74463233.5	815
MRPL53	MRPL53	2	74471982	74472687	p13.1	2p	no	74472334.5	816
CCDC142	CCDC142	2	74471986	74483408	p13.1	2p	no	74477697	817
TTC31	TTC31	2	74483073	74494559	p13.1	2p	no	74488816	818
LBX2	LBX2	2	74497517	74503316	p13.1	2p	no	74500416.5	819
LBX2-AS1	LBX2-AS1	2	74502552	74505091	p13.1	2p	no	74503821.5	820
PCGF1	PCGF1	2	74505043	74507695	p13.1	2p	no	74506369	821
TLX2	TLX2	2	74513463	74517148	p13.1	2p	no	74515305.5	822
DQX1	DQX1	2	74518131	74526281	p13.1	2p	no	74522206	823
AUP1	AUP1	2	74526645	74529760	p13.1	2p	no	74528202.5	824
HTRA2	HTRA2	2	74529725	74533332	p13.1	2p	no	74531528.5	825
LOXL3	LOXL3	2	74532258	74555690	p13.1	2p	no	74543974	826
DOK1	DOK1	2	74549026	74557551	p13.1	2p	no	74553288.5	827
M1AP	M1AP	2	74557883	74648338	p13.1	2p	no	74603110.5	828
TOR1BP1	TOR1BP1	2	74618856	74620979	p13.1	2p	no	74619917.5	829
TVP23BP2	TVP23BP2	2	74628328	74628942	p13.1	2p	no	74628635	830
SEMA4F	SEMA4F	2	74654228	74683853	p13.1	2p	no	74669040.5	831
RPS28P5	RPS28P5	2	74754670	74754819	p13.1	2p	no	74754744.5	832
HK2-DT	HK2-DT	2	74832655	74833987	p12	2p	no	74833321	833
HK2	HK2	2	74834127	74893359	p12	2p	no	74863743	834
LINC01291	LINC01291	2	74918148	74938418	p12	2p	no	74928283	835
LINC01293	LINC01293	2	74940258	74942670	p12	2p	no	74941464	836
POLE4	POLE4	2	74958643	74970128	p12	2p	no	74964385.5	837
TACR1	TACR1	2	75046463	75199520	p12	2p	no	75122991.5	838
MIR5000	MIR5000	2	75090812	75090914	p12	2p	no	75090863	839
GAPDHP57	GAPDHP57	2	75455994	75456578	p12	2p	no	75456286	840
EVA1A	EVA1A	2	75469302	75569722	p12	2p	no	75519512	841
EVA1A-AS	EVA1A-AS	2	75524068	75542706	p12	2p	no	75533387	842
MRPL19	MRPL19	2	75646783	75690851	p12	2p	no	75668817	843
SUPT4H1P1	SUPT4H1P1	2	75651288	75651627	p12	2p	no	75651457.5	844
GCFC2	GCFC2	2	75652000	75710985	p12	2p	no	75681492.5	845
SUCLA2P2	SUCLA2P2	2	76106016	76107324	p12	2p	no	76106670	846
PNPP1	PNPP1	2	76258034	76258897	p12	2p	no	76258465.5	847
USP21P2	USP21P2	2	76260755	76261661	p12	2p	no	76261208	848
RN7SKP203	RN7SKP203	2	76445079	76445410	p12	2p	no	76445244.5	849
RN7SKP164	RN7SKP164	2	76595413	76595678	p12	2p	no	76595545.5	850
LRRTM4	LRRTM4	2	76747685	77593319	p12	2p	no	77170502	851
RNA5SP98	RNA5SP98	2	76772909	76773045	p12	2p	no	76772977	852
LRRTM4-AS1	LRRTM4-AS1	2	76985965	77009791	p12	2p	no	76997878	853
RPL38P2	RPL38P2	2	77788382	77793087	p12	2p	no	77790734.5	854
LINC01851	LINC01851	2	77915870	77918011	p12	2p	no	77916940.5	855
CYCSP6	CYCSP6	2	78412793	78413094	p12	2p	no	78412943.5	856
RNU6-827P	RNU6-827P	2	78882447	78882552	p12	2p	no	78882499.5	857
RNU6-812P	RNU6-812P	2	78882628	78882734	p12	2p	no	78882681	858
REG3G	REG3G	2	79025686	79028505	p12	2p	no	79027095.5	859
REG1B	REG1B	2	79085023	79088019	p12	2p	no	79086521	860
REG1A	REG1A	2	79120362	79123409	p12	2p	no	79121885.5	861
REG1CP	REG1CP	2	79135503	79138427	p12	2p	no	79136965	862
REG3A	REG3A	2	79157003	79159753	p12	2p	no	79158378	863
CTNNA2	CTNNA2	2	79185231	80648861	p12	2p	no	79917046	864
CTNNA2-AS1	CTNNA2-AS1	2	79492704	79513900	p12	2p	no	79503302	865
GNA13P1	GNA13P1	2	79573764	79575593	p12	2p	no	79574678.5	866
RNU6-561P	RNU6-561P	2	79636862	79636963	p12	2p	no	79636912.5	867
MIR4264	MIR4264	2	79649294	79649359	p12	2p	no	79649326.5	868
MIR8080	MIR8080	2	79866495	79866583	p12	2p	no	79866539	869
RBM7P1	RBM7P1	2	80162428	80163135	p12	2p	no	80162781.5	870
LRRTM1	LRRTM1	2	80288351	80304752	p12	2p	no	80296551.5	871
ANKRD11P1	ANKRD11P1	2	81194337	81201184	p12	2p	no	81197760.5	872
CHMP4AP1	CHMP4AP1	2	81418723	81419302	p12	2p	no	81419012.5	873
LINC01815	LINC01815	2	81461358	81467468	p12	2p	no	81464413	874
RNA5SP99	RNA5SP99	2	81496214	81496327	p12	2p	no	81496270.5	875
RN7SL201P	RN7SL201P	2	81967079	81967374	p12	2p	no	81967226.5	876
LYARP1	LYARP1	2	82268427	82269927	p12	2p	no	82269177	877
RNU6-685P	RNU6-685P	2	82268612	82268706	p12	2p	no	82268659	878
RBX1P1	RBX1P1	2	82609652	82609977	p12	2p	no	82609814.5	879
MTND4P25	MTND4P25	2	82814984	82815516	p12	2p	no	82815250	880
MTND5P27	MTND5P27	2	82815809	82817528	p12	2p	no	82816668.5	881
MTND6P7	MTND6P7	2	82817538	82818061	p12	2p	no	82817799.5	882
MTCYBP7	MTCYBP7	2	82818131	82819264	p12	2p	no	82818697.5	883
DHFRP3	DHFRP3	2	82856826	82857384	p12	2p	no	82857105	884
LINC01809	LINC01809	2	83522814	83523502	p11.2	2p	no	83523158	885
RPL37P10	RPL37P10	2	83594956	83595243	p11.2	2p	no	83595099.5	886
RNU6-1312P	RNU6-1312P	2	83657735	83657842	p11.2	2p	no	83657788.5	887
CRLF3P3	CRLF3P3	2	84031140	84032358	p11.2	2p	no	84031749	888
ST6GALNAC2P1	ST6GALNAC2P1	2	84039885	84040720	p11.2	2p	no	84040302.5	889
FUNDC2P2	FUNDC2P2	2	84290683	84292202	p11.2	2p	no	84291442.5	890
SUCLG1	SUCLG1	2	84423528	84460045	p11.2	2p	no	84441786.5	891
DNAH6	DNAH6	2	84516455	84819589	p11.2	2p	no	84668022	892
DUXAP1	DUXAP1	2	84750769	84751231	p11.2	2p	no	84751000	893
LDHAP7	LDHAP7	2	84777259	84778223	p11.2	2p	no	84777741	894
TRABD2A	TRABD2A	2	84821650	84907008	p11.2	2p	no	84864329	895
RPL12P18	RPL12P18	2	84874696	84875020	p11.2	2p	no	84874858	896
TMSB10	TMSB10	2	84905656	84906671	p11.2	2p	no	84906163.5	897
RPS2P17	RPS2P17	2	84915868	84916660	p11.2	2p	no	84916264	898
KCMF1	KCMF1	2	84971093	85059472	p11.2	2p	no	85015282.5	899
LINC01964	LINC01964	2	85061213	85067347	p11.2	2p	no	85064280	900
LSM3P3	LSM3P3	2	85102389	85102694	p11.2	2p	no	85102541.5	901
TCF7L1	TCF7L1	2	85133392	85310387	p11.2	2p	no	85221889.5	902
TCF7L1-IT1	TCF7L1-IT1	2	85186409	85187253	p11.2	2p	no	85186831	903
RNU6-674P	RNU6-674P	2	85204926	85205032	p11.2	2p	no	85204979	904
SNRPEP11	SNRPEP11	2	85262144	85262267	p11.2	2p	no	85262205.5	905
TGOLN2	TGOLN2	2	85318027	85328251	p11.2	2p	no	85323139	906
PEBP1P2	PEBP1P2	2	85341281	85341838	p11.2	2p	no	85341559.5	907
RETSAT	RETSAT	2	85341955	85354531	p11.2	2p	no	85348243	908
ELMOD3	ELMOD3	2	85354394	85391752	p11.2	2p	no	85373073	909
RN7SL113P	RN7SL113P	2	85368282	85368580	p11.2	2p	no	85368431	910
CAPG	CAPG	2	85394753	85418432	p11.2	2p	no	85406592.5	911
SH2D6	SH2D6	2	85418714	85437029	p11.2	2p	no	85427871.5	912
RN7SL251P	RN7SL251P	2	85442495	85442791	p11.2	2p	no	85442643	913
RPSAP22	RPSAP22	2	85490930	85491780	p11.2	2p	no	85491355	914
PARTICL	PARTICL	2	85537462	85538666	p11.2	2p	no	85538064	915
MAT2A	MAT2A	2	85539168	85545281	p11.2	2p	no	85542224.5	916
GGCX	GGCX	2	85544720	85561532	p11.2	2p	no	85553126	917
VAMP8	VAMP8	2	85561562	85582031	p11.2	2p	no	85571796.5	918
RN7SL126P	RN7SL126P	2	85567662	85567960	p11.2	2p	no	85567811	919
VAMP5	VAMP5	2	85584431	85593406	p11.2	2p	no	85588918.5	920
RNF181	RNF181	2	85595725	85597708	p11.2	2p	no	85596716.5	921
TMEM150A	TMEM150A	2	85598547	85603196	p11.2	2p	no	85600871.5	922
USP39	USP39	2	85602856	85649283	p11.2	2p	no	85626069.5	923
C2orf68	C2orf68	2	85605254	85612066	p11.2	2p	no	85608660	924
SFTPB	SFTPB	2	85657314	85668741	p11.2	2p	no	85663027.5	925
GNLY	GNLY	2	85685175	85698852	p11.2	2p	no	85692013.5	926
GPR160P1	GPR160P1	2	85686053	85687047	p11.2	2p	no	85686550	927
RNU1-38P	RNU1-38P	2	85728194	85728337	p11.2	2p	no	85728265.5	928
ATOH8	ATOH8	2	85751344	85791383	p11.2	2p	no	85771363.5	929
MIR6071	MIR6071	2	85783600	85783677	p11.2	2p	no	85783638.5	930
RN7SKP83	RN7SKP83	2	85820435	85820612	p11.2	2p	no	85820523.5	931
ST3GAL5	ST3GAL5	2	85837120	85905199	p11.2	2p	no	85871159.5	932
ST3GAL5-AS1	ST3GAL5-AS1	2	85889151	85891136	p11.2	2p	no	85890143.5	933
POLR1A	POLR1A	2	86020216	86106155	p11.2	2p	no	86063185.5	934
PTCD3	PTCD3	2	86106223	86142157	p11.2	2p	no	86124190	935
SNORD94	SNORD94	2	86135870	86136006	p11.2	2p	no	86135938	936
IMMT	IMMT	2	86143932	86195472	p11.2	2p	no	86169702	937
MIR4779	MIR4779	2	86193026	86193108	p11.2	2p	no	86193067	938
MRPL35	MRPL35	2	86199355	86213790	p11.2	2p	no	86206572.5	939
REEP1	REEP1	2	86213993	86338083	p11.2	2p	no	86276038	940
KDM3A	KDM3A	2	86440647	86492716	p11.2	2p	no	86466681.5	941
CHMP3	CHMP3	2	86503430	86563479	p11.2	2p	no	86533454.5	942
RNF103-CHMP3	RNF103-CHMP3	2	86505668	86721122	p11.2	2p	no	86613395	943
RNU6-640P	RNU6-640P	2	86515204	86515308	p11.2	2p	no	86515256	944
RNF103	RNF103	2	86603398	86623866	p11.2	2p	no	86613632	945
RMND5A	RMND5A	2	86720291	86778041	p11.2	2p	no	86749166	946
CD8A	CD8A	2	86784610	86808396	p11.2	2p	no	86796503	947
CD8B	CD8B	2	86815339	86861924	p11.2	2p	no	86838631.5	948
ANAPC1P1	ANAPC1P1	2	86861825	86912978	p11.2	2p	no	86887401.5	949
RGPD1	RGPD1	2	86907953	87013976	p11.2	2p	no	86960964.5	950
WBP1P1	WBP1P1	2	86930250	86930754	p11.2	2p	no	86930502	951
NDUFB4P5	NDUFB4P5	2	86934462	86934822	p11.2	2p	no	86934642	952
PLGLB1	PLGLB1	2	87002559	87021852	p11.2	2p	no	87012205.5	953
ANAPC1P2	ANAPC1P2	2	87031815	87052992	p11.2	2p	no	87042403.5	954
ANAPC1P3	ANAPC1P3	2	87118534	87120980	p11.2	2p	no	87119757	955
MIR4771-1	MIR4771-1	2	87194786	87194859	p11.2	2p	no	87194822.5	956
CENPNP1	CENPNP1	2	87221113	87222488	p11.2	2p	no	87221800.5	957
LINC01955	LINC01955	2	87249095	87253750	p11.2	2p	no	87251422.5	958
DBF4P3	DBF4P3	2	87301658	87302251	p11.2	2p	no	87301954.5	959
IGKV3OR2-268	IGKV3OR2-268	2	87338511	87339035	p11.2	2p	no	87338773	960
LINC01943	LINC01943	2	87439523	87459044	p11.2	2p	no	87449283.5	961
CYTOR	CYTOR	2	87454781	87636740	p11.2	2p	no	87545760.5	962
PAFAH1B1P1	PAFAH1B1P1	2	87565828	87566764	p11.2	2p	no	87566296	963
MIR4435-1	MIR4435-1	2	87629755	87629834	p11.2	2p	no	87629794.5	964
RPS14P5	RPS14P5	2	87654890	87655243	p11.2	2p	no	87655066.5	965
ANAPC1P4	ANAPC1P4	2	87700984	87738105	p11.2	2p	no	87719544.5	966
PLGLB2	PLGLB2	2	87748087	87759476	p11.2	2p	no	87753781.5	967
RGPD2	RGPD2	2	87755960	87825796	p11.2	2p	no	87790878	968
MTATP8P2	MTATP8P2	2	87824942	87825143	p11.2	2p	no	87825042.5	969
NDUFB4P7	NDUFB4P7	2	87968609	87968971	p11.2	2p	no	87968790	970
WBP1P2	WBP1P2	2	87972656	87973082	p11.2	2p	no	87972869	971
ANAPC1P5	ANAPC1P5	2	87980714	87992858	p11.2	2p	no	87986786	972
RNU2-63P	RNU2-63P	2	88016354	88016547	p11.2	2p	no	88016450.5	973
KRCC1	KRCC1	2	88027205	88064252	p11.2	2p	no	88045728.5	974
SMYD1	SMYD1	2	88067825	88113384	p11.2	2p	no	88090604.5	975
MIR4780	MIR4780	2	88082519	88082599	p11.2	2p	no	88082559	976
FABP1	FABP1	2	88122982	88128062	p11.2	2p	no	88125522	977
THNSL2	THNSL2	2	88170295	88186636	p11.2	2p	no	88178465.5	978
MRPL45P1	MRPL45P1	2	88364695	88365608	p11.2	2p	no	88365151.5	979
RNU6-1168P	RNU6-1168P	2	88383494	88383597	p11.2	2p	no	88383545.5	980
RNU6-1007P	RNU6-1007P	2	88414898	88415004	p11.2	2p	no	88414951	981
RPL38P6	RPL38P6	2	88428078	88428615	p11.2	2p	no	88428346.5	982
FOXI3	FOXI3	2	88446787	88452693	p11.2	2p	no	88449740	983
TEX37	TEX37	2	88524649	88529585	p11.2	2p	no	88527117	984
EIF2AK3	EIF2AK3	2	88556741	88691518	p11.2	2p	no	88624129.5	985
EIF2AK3-DT	EIF2AK3-DT	2	88627539	88631821	p11.2	2p	no	88629680	986
RPIA	RPIA	2	88691673	88750929	p11.2	2p	no	88721301	987
ANKRD36BP2	ANKRD36BP2	2	88765807	88806612	p11.2	2p	no	88786209.5	988
MALLP2	MALLP2	2	88811186	88825207	p11.2	2p	no	88818196.5	989
MIR4436A	MIR4436A	2	88812370	88812454	p11.2	2p	no	88812412	990
IGKC	IGKC	2	88857161	88857683	p11.2	2p	no	88857422	991
IGKJ5	IGKJ5	2	88860568	88860605	p11.2	2p	no	88860586.5	992
IGKJ4	IGKJ4	2	88860886	88860922	p11.2	2p	no	88860904	993
IGKJ3	IGKJ3	2	88861221	88861258	p11.2	2p	no	88861239.5	994
IGKJ2	IGKJ2	2	88861525	88861563	p11.2	2p	no	88861544	995
IGKJ1	IGKJ1	2	88861886	88861923	p11.2	2p	no	88861904.5	996
IGKV4-1	IGKV4-1	2	88885397	88886153	p11.2	2p	no	88885775	997
IGKV2D-40	IGKV2D-40	2	89851791	89852493	p11.2	2p	no	89852142	998
IGKV1D-39	IGKV1D-39	2	89862482	89862981	p11.2	2p	no	89862731.5	999
IGKV2D-38	IGKV2D-38	2	89872463	89872702	p11.2	2p	no	89872582.5	1000
IGKV1D-37	IGKV1D-37	2	89884740	89885216	p11.2	2p	no	89884978	1001
IGKV2D-36	IGKV2D-36	2	89887022	89887247	p11.2	2p	no	89887134.5	1002
IGKV1D-35	IGKV1D-35	2	89895502	89895772	p11.2	2p	no	89895637	1003
IGKV3D-34	IGKV3D-34	2	89906757	89907246	p11.2	2p	no	89907001.5	1004
IGKV1D-33	IGKV1D-33	2	89913982	89914545	p11.2	2p	no	89914263.5	1005
IGKV1D-32	IGKV1D-32	2	89928422	89928867	p11.2	2p	no	89928644.5	1006
IGKV3D-31	IGKV3D-31	2	89929701	89930202	p11.2	2p	no	89929951.5	1007
IGKV2D-30	IGKV2D-30	2	89936859	89937679	p11.2	2p	no	89937269	1008
IGKV2D-29	IGKV2D-29	2	89947512	89948269	p11.2	2p	no	89947890.5	1009
IGKV2D-28	IGKV2D-28	2	89959979	89960748	p11.2	2p	no	89960363.5	1010
IGKV1D-27	IGKV1D-27	2	89968867	89969335	p11.2	2p	no	89969101	1011
IGKV2D-26	IGKV2D-26	2	89985922	89986702	p11.2	2p	no	89986312	1012
IGKV3D-25	IGKV3D-25	2	89989987	89990221	p11.2	2p	no	89990104	1013
IGKV2D-24	IGKV2D-24	2	90004797	90005629	p11.2	2p	no	90005213	1014
IGKV2D-23	IGKV2D-23	2	90009402	90009927	p11.2	2p	no	90009664.5	1015
IGKV1D-22	IGKV1D-22	2	90010741	90011184	p11.2	2p	no	90010962.5	1016
IGKV6D-21	IGKV6D-21	2	90021567	90022185	p11.2	2p	no	90021876	1017
IGKV3D-20	IGKV3D-20	2	90038848	90039479	p11.2	2p	no	90039163.5	1018
IGKV2D-19	IGKV2D-19	2	90046796	90047057	p11.2	2p	no	90046926.5	1019
IGKV2D-18	IGKV2D-18	2	90052581	90053372	p11.2	2p	no	90052976.5	1020
IGKV6D-41	IGKV6D-41	2	90069662	90070238	p11.2	2p	no	90069950	1021
IGKV1D-17	IGKV1D-17	2	90082635	90083291	p11.2	2p	no	90082963	1022
IGKV1D-16	IGKV1D-16	2	90100236	90100738	p11.2	2p	no	90100487	1023
IGKV3D-15	IGKV3D-15	2	90114838	90115402	p11.2	2p	no	90115120	1024
IGKV2D-14	IGKV2D-14	2	90121786	90122564	p11.2	2p	no	90122175	1025
IGKV1D-13	IGKV1D-13	2	90154073	90154574	p11.2	2p	no	90154323.5	1026
IGKV1D-12	IGKV1D-12	2	90159840	90160335	p11.2	2p	no	90160087.5	1027
IGKV3D-11	IGKV3D-11	2	90172802	90173414	p11.2	2p	no	90173108	1028
IGKV2D-10	IGKV2D-10	2	90179889	90180587	p11.2	2p	no	90180238	1029
IGKV1D-42	IGKV1D-42	2	90190193	90190681	p11.2	2p	no	90190437	1030
IGKV1D-43	IGKV1D-43	2	90209873	90210529	p11.2	2p	no	90210201	1031
LSP1P4	LSP1P4	2	91587019	91659989	p11.2	2p	no	91623504	1032
DRD5P1	DRD5P1	2	91684447	91685884	p11.2	2p	no	91685165.5	1033
NKAIN1P2	NKAIN1P2	2	91723023	91723605	p11.2	2p	no	91723314	1034
KMT5AP2	KMT5AP2	2	91747940	91748986	p11.2	2p	no	91748463	1035
GGT8P	GGT8P	2	91775944	91781169	p11.2	2p	no	91778556.5	1036
IGKV1OR2-1	IGKV1OR2-1	2	91817771	91818248	p11.1	2p	no	91818009.5	1037
ABCD1P5	ABCD1P5	2	91840601	91843802	p11.1	2p	no	91842201.5	1038
PABPC1P6	PABPC1P6	2	91877969	91880195	p11.1	2p	no	91879082	1039
SLC9B1P2	SLC9B1P2	2	91883076	91931714	p11.1	2p	no	91907395	1040
ACTR3BP2	ACTR3BP2	2	91940668	91942040	p11.1	2p	no	91941354	1041
CHEK2P3	CHEK2P3	2	91957436	91963610	p11.1	2p	no	91960523	1042
IGKV1OR2-2	IGKV1OR2-2	2	92034522	92035000	p11.1	2p	no	92034761	1043
BMS1P23	BMS1P23	2	94193659	94208408	q11.1	2q	no	94201033.5	1
CNN2P11	CNN2P11	2	94725674	94725935	q11.1	2q	no	94725804.5	2
GXYLT1P7	GXYLT1P7	2	94734655	94735844	q11.1	2q	no	94735249.5	3
CNN2P8	CNN2P8	2	94737337	94738249	q11.1	2q	no	94737793	4
CYP4F32P	CYP4F32P	2	94759259	94760279	q11.1	2q	no	94759769	5
SNX18P14	SNX18P14	2	94786688	94787261	q11.1	2q	no	94786974.5	6
ANKRD20A8P	ANKRD20A8P	2	94791103	94857282	q11.1	2q	no	94824192.5	7
RNU6-1320P	RNU6-1320P	2	94846533	94846639	q11.1	2q	no	94846586	8
SOWAHCP5	SOWAHCP5	2	94861362	94862667	q11.1	2q	no	94862014.5	9
TEKT4	TEKT4	2	94871430	94876823	q11.1	2q	no	94874126.5	10
MTCO1P48	MTCO1P48	2	94899566	94900661	q11.1	2q	no	94900113.5	11
MTCO3P45	MTCO3P45	2	94900990	94901602	q11.1	2q	no	94901296	12
RPS24P6	RPS24P6	2	94912432	94912831	q11.1	2q	no	94912631.5	13
RN7SL575P	RN7SL575P	2	95003545	95003843	q11.1	2q	no	95003694	14
MAL	MAL	2	95025677	95053992	q11.1	2q	no	95039834.5	15
MRPS5	MRPS5	2	95085369	95149434	q11.1	2q	no	95117401.5	16
ZNF514	ZNF514	2	95145000	95165413	q11.1	2q	no	95155206.5	17
ZNF2	ZNF2	2	95165432	95184317	q11.1	2q	no	95174874.5	18
SLC2AXP1	SLC2AXP1	2	95196449	95197357	q11.1	2q	no	95196903	19
PROM2	PROM2	2	95274449	95291308	q11.1	2q	no	95282878.5	20
KCNIP3	KCNIP3	2	95297327	95386077	q11.1	2q	no	95341702	21
